video_path,label
C:/Users/deeks_w4ub1k8/Sign2Speech/videos/00335.mp4,abdomen
C:/Users/deeks_w4ub1k8/Sign2Speech/videos/00336.mp4,abdomen
C:/Users/deeks_w4ub1k8/Sign2Speech/videos/00338.mp4,abdomen
C:/Users/deeks_w4ub1k8/Sign2Speech/videos/00339.mp4,abdomen
C:/Users/deeks_w4ub1k8/Sign2Speech/videos/00341.mp4,abdomen
C:/Users/deeks_w4ub1k8/Sign2Speech/videos/00376.mp4,able
C:/Users/deeks_w4ub1k8/Sign2Speech/videos/00377.mp4,able
C:/Users/deeks_w4ub1k8/Sign2Speech/videos/00381.mp4,able
C:/Users/deeks_w4ub1k8/Sign2Speech/videos/00382.mp4,able
C:/Users/deeks_w4ub1k8/Sign2Speech/videos/00384.mp4,able
C:/Users/deeks_w4ub1k8/Sign2Speech/videos/00414.mp4,about
C:/Users/deeks_w4ub1k8/Sign2Speech/videos/00415.mp4,about
C:/Users/deeks_w4ub1k8/Sign2Speech/videos/00416.mp4,about
C:/Users/deeks_w4ub1k8/Sign2Speech/videos/00421.mp4,about
C:/Users/deeks_w4ub1k8/Sign2Speech/videos/00426.mp4,about
C:/Users/deeks_w4ub1k8/Sign2Speech/videos/00430.mp4,above
C:/Users/deeks_w4ub1k8/Sign2Speech/videos/00431.mp4,above
C:/Users/deeks_w4ub1k8/Sign2Speech/videos/00433.mp4,above
C:/Users/deeks_w4ub1k8/Sign2Speech/videos/00435.mp4,above
C:/Users/deeks_w4ub1k8/Sign2Speech/videos/00583.mp4,accent
C:/Users/deeks_w4ub1k8/Sign2Speech/videos/00584.mp4,accent
C:/Users/deeks_w4ub1k8/Sign2Speech/videos/00585.mp4,accent
C:/Users/deeks_w4ub1k8/Sign2Speech/videos/00586.mp4,accent
C:/Users/deeks_w4ub1k8/Sign2Speech/videos/00592.mp4,accept
C:/Users/deeks_w4ub1k8/Sign2Speech/videos/00593.mp4,accept
C:/Users/deeks_w4ub1k8/Sign2Speech/videos/00594.mp4,accept
C:/Users/deeks_w4ub1k8/Sign2Speech/videos/00597.mp4,accept
C:/Users/deeks_w4ub1k8/Sign2Speech/videos/00599.mp4,accept
C:/Users/deeks_w4ub1k8/Sign2Speech/videos/00600.mp4,accept
C:/Users/deeks_w4ub1k8/Sign2Speech/videos/00603.mp4,accept
C:/Users/deeks_w4ub1k8/Sign2Speech/videos/00623.mp4,accident
C:/Users/deeks_w4ub1k8/Sign2Speech/videos/00624.mp4,accident
C:/Users/deeks_w4ub1k8/Sign2Speech/videos/00625.mp4,accident
C:/Users/deeks_w4ub1k8/Sign2Speech/videos/00626.mp4,accident
C:/Users/deeks_w4ub1k8/Sign2Speech/videos/00627.mp4,accident
C:/Users/deeks_w4ub1k8/Sign2Speech/videos/00628.mp4,accident
C:/Users/deeks_w4ub1k8/Sign2Speech/videos/00629.mp4,accident
C:/Users/deeks_w4ub1k8/Sign2Speech/videos/00631.mp4,accident
C:/Users/deeks_w4ub1k8/Sign2Speech/videos/00632.mp4,accident
C:/Users/deeks_w4ub1k8/Sign2Speech/videos/00633.mp4,accident
C:/Users/deeks_w4ub1k8/Sign2Speech/videos/00634.mp4,accident
C:/Users/deeks_w4ub1k8/Sign2Speech/videos/00639.mp4,accident
C:/Users/deeks_w4ub1k8/Sign2Speech/videos/00663.mp4,accomplish
C:/Users/deeks_w4ub1k8/Sign2Speech/videos/00664.mp4,accomplish
C:/Users/deeks_w4ub1k8/Sign2Speech/videos/00666.mp4,accomplish
C:/Users/deeks_w4ub1k8/Sign2Speech/videos/00668.mp4,accomplish
